"Path","Domain","MatchingLines","LineNumbers","Symbols","SHA256"
"docs/0.3.0.0_ARCHITECTURE.md","Documentation/tool","6","79,447,644,682,719,720","enter_region,enter_story,interact_actor,triggers","BA92717E1C91C8C97E3DA47CB09C7859859124684FBBBA984C914BCEDE410A02"
"docs/0.3.0.0_PHASE1_GRAPH_CORE.md","Documentation/tool","1","325","enter_story","C036EBC36B10985B32C9111561D25638F4D078262BF029DD49DA5ACB7C1CF0B8"
"docs/0.3.1.0_ARCHITECTURE.md","Documentation/tool","1","38","triggers","D010743646EC65CEB6308179A8EEB405D97CE556B8DF497E0E6EF50C9FC81FF2"
"docs/2.1_STORY_GRAPH.md","Documentation/tool","1","27","enter_story","79A2C8272589DD807757A390F81F4D240EC7A15CDE0A6D77AA0EDA59124A7BF1"
"docs/2.1.2_NODE_PORT_CONTRACT.md","Documentation/tool","1","38","triggers","F749A2ABC25EEA194BB2FF1EF4E4C0C82A79C110AC36150F7048AAA2AE55CC47"
"docs/2.1.2_STORY_GRAPH.md","Documentation/tool","1","4","enter_story","10626A188F5C3C55261DAF517785D4B6DDAB2F6094ADE9BE854558989E7A1873"
"docs/DECISIONS.md","Documentation/tool","8","309,572,714,803,806,823,894,896","enter_region,enter_story,interact_actor,triggers","3B5C42F3B8839F81BF6B7405553E0A9467E144158FB3EF851AA9614918D8E82F"
"docs/PHASE4_IMPLEMENTATION_REPORT.md","Documentation/tool","1","37","triggers","37D963EAF52F60F248FD0BB90C3AA4703A4B2379AA1745F2B4251825C339E58F"
"examples/phase3_project/quests/objective_showcase.json","Example","1","","","18B670C42A3E3017D014E806881BAA5A3039F5BAFF53BAF2D542911D5FC59F7F"
"legacy/studio-godot-prototype/scripts/Main.gd","Historical archive","1","","","7128FD7CA31ACD6AFDA2DAE83C98B251F7FAF7D877FAC25BEC8436C9EFF41B88"
"legacy/studio-godot-prototype/scripts/QuestEditorWindow.gd","Historical archive","1","","","33BCEF1FFAE31C0539D226CA079812B6312F1D4D4E7F9B82D567D6DB01D29646"
"legacy/studio-godot-prototype/scripts/RpgProjectStore.gd","Historical archive","1","","","0E7086FC65750D3F9A0A9CCEA16127D6EB3A31A5A3840D196A0C20E3FB4B6795"
"legacy/studio-godot-prototype/scripts/StoryEditorWindow.gd","Historical archive","1","","","AFF8B1EB70D64ABA30B726839E2580F40D827347F7FAC46C531EE1EEBB028352"
"legacy/studio-godot-prototype/tests/Phase3QuestProbe.gd","Historical archive","1","","","2C8CE0B37FB242F88F7CD7D9E747E873A6FA24D19E515CDF07CE3518A9F6A984"
"schema/quest.schema.json","Schema","1","","","C4F2305336CD97BB3572F7808B6A9C2BF21590462D0EC3181B61F584D4EE0FAA"
